ticker,date,last,rsi,macd,macd_signal,sma200,sma_dev_pct,vol,vol_avg20,rsi_ok,macd_cross_ok,sma_dev_ok,vol_spike_ok,signals_score,stop_price,target_price,trailing_trigger_gain,trailing_pct,max_hold_days,suggested_shares,risk_dollars,alloc_cap_dollars,headline_sentiment,catalysts,pe_ttm,pe_fwd,div_yield_pct,payout_ratio,debt_to_equity,composite_score,owned
RY.TO,2025-08-10,182.37,62.89,1.1634,1.1142,169.06,7.87,3030200,4780235,False,True,False,False,5,162.31,200.61,0.05,0.07,60,49,1000.0,15000.0,,,14.51,14.45,3.38,0.46,,6.25,True
DIR-UN.TO,2025-08-10,12.34,68.43,0.1238,0.0807,11.4,8.26,1030318,549471,False,True,False,True,5,10.98,13.57,0.05,0.07,60,735,1000.0,15000.0,,,16.45,11.43,5.67,0.94,,6.25,False
LUG.TO,2025-08-10,78.91,71.14,1.1997,-0.2601,47.36,66.62,1915800,846545,False,True,False,True,5,70.23,86.8,0.05,0.07,60,115,1000.0,15000.0,,,25.87,27.69,5.5,0.36,,6.25,False
IVN.TO,2025-08-10,11.65,58.88,0.103,0.0792,14.49,-19.62,2848400,3147400,False,True,True,False,5,10.37,12.81,0.05,0.07,60,781,1000.0,15000.0,,,29.12,13.39,,0.0,,6.0,False
PAAS.TO,2025-08-10,43.96,68.33,0.6545,0.2776,34.69,26.72,1666100,1081945,False,True,False,True,5,39.12,48.36,0.05,0.07,60,206,1000.0,15000.0,,,22.09,25.12,1.5,0.28,,6.0,False
EFX.TO,2025-08-10,12.56,70.22,0.2899,0.1805,11.4,10.2,862800,339665,False,True,False,True,5,11.18,13.82,0.05,0.07,60,724,1000.0,15000.0,,,15.32,20.93,1.35,0.15,,6.0,False
JWEL.TO,2025-08-10,37.49,74.78,0.0613,-0.2082,33.51,11.87,246200,74705,False,True,False,True,5,33.37,41.24,0.05,0.07,60,242,1000.0,15000.0,,,28.19,18.56,2.45,0.63,,6.0,False
MFI.TO,2025-08-10,33.42,80.68,0.6272,0.4063,24.33,37.35,388700,190835,False,True,False,True,5,29.74,36.76,0.05,0.07,60,271,1000.0,15000.0,,,23.21,23.7,2.87,0.64,,6.0,False
OGC.TO,2025-08-10,22.56,75.19,0.4298,0.1288,14.9,51.37,1744600,839535,False,True,False,True,5,20.08,24.82,0.05,0.07,60,403,1000.0,15000.0,,,10.4,36.39,73.0,0.06,,5.75,False
SAP.TO,2025-08-10,32.0,80.73,0.707,0.5357,25.75,24.29,1154600,534120,False,True,False,True,5,28.48,35.2,0.05,0.07,60,284,1000.0,15000.0,,,,15.31,2.5,1.33,,5.5,False
CSH-UN.TO,2025-08-10,18.39,61.05,0.0057,-0.061,16.52,11.32,764419,328954,False,True,False,True,5,16.37,20.23,0.05,0.07,60,495,1000.0,15000.0,,,87.57,76.62,3.33,2.92,,5.25,False
WPM.TO,2025-08-10,138.56,69.96,3.3321,2.2034,104.1,33.11,1087300,626885,False,True,False,True,5,123.32,152.42,0.05,0.07,60,65,1000.0,15000.0,,,58.22,55.65,65.0,0.37,,5.25,False
AGI.TO,2025-08-10,36.01,52.25,-0.0807,-0.241,32.9,9.46,1438500,1192620,False,True,False,False,4,32.05,39.61,0.05,0.07,60,252,1000.0,15000.0,,,31.87,23.54,38.0,0.12,,5.25,False
CRT-UN.TO,2025-08-10,15.71,52.8,-0.0124,-0.0248,14.66,7.14,148200,150050,False,True,False,False,4,13.98,17.28,0.05,0.07,60,578,1000.0,15000.0,,,10.2,12.88,6.04,0.6,,5.25,False
FCR-UN.TO,2025-08-10,18.69,56.06,0.2136,0.2282,16.96,10.18,160700,327850,False,True,False,False,4,16.63,20.56,0.05,0.07,60,485,1000.0,15000.0,,,15.2,15.57,4.76,0.71,,5.25,False
GWO.TO,2025-08-10,53.28,59.38,0.4223,0.3227,49.8,6.99,2593800,1748670,False,True,False,False,4,47.42,58.61,0.05,0.07,60,170,1000.0,15000.0,,,13.35,11.56,4.58,0.58,,5.25,False
SRU-UN.TO,2025-08-10,25.88,59.81,0.076,0.0624,24.52,5.53,353000,320195,False,True,False,False,4,23.03,28.47,0.05,0.07,60,350,1000.0,15000.0,,,19.17,13.62,7.15,1.37,,5.25,False
OTEX.TO,2025-08-10,42.52,61.31,0.2809,0.32,39.08,8.81,1817500,783465,False,False,False,True,4,37.84,46.77,0.05,0.07,60,213,1000.0,15000.0,,,18.73,9.51,3.55,0.64,,5.25,False
DPM.TO,2025-08-10,24.08,64.6,0.5701,0.505,17.41,38.35,508000,640385,False,True,False,False,4,21.43,26.49,0.05,0.07,60,377,1000.0,15000.0,,,12.35,10.9,92.0,0.11,,5.25,False
SOBO.TO,2025-08-10,37.68,68.9,0.3777,0.2277,34.3,9.85,680300,900365,False,True,False,False,4,33.54,41.45,0.05,0.07,60,241,1000.0,15000.0,,,19.52,17.05,7.31,0.71,,5.25,False
ENB.TO,2025-08-10,64.69,69.41,0.73,0.3585,60.67,6.62,15145500,7857255,False,False,False,False,4,57.57,71.16,0.05,0.07,60,140,1000.0,15000.0,,,22.78,21.71,5.83,1.31,,5.25,True
